"Name of Satellite, Alternate Names",Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,,Source Used for Orbital Data,Source,Source,Source,Source,Source,Source,
COSMO-Skymed 1 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Italian Space Agency/Ministry of Defense,Civil/Military,Remote Sensing/Imaging,LEO,Sun-Synchronous,,622,626,2.86E-04,97.86,97.19,"1,700",,"3,600",6/8/2007,5 yrs.,Thales Alenia Space,France/Italy,Vandenberg AFB,Delta 7000,2007-023A,31598,"To be part of 4-satellite constellation; radar imager, collect data on floods, droughts, earthquakes and landslides; military applications.",,SC - ASCR,http://www.faa.gov/data_statistics/commercial_space_data/launch_details/index.cfm?launchId=462,http://www.lib.cas.cz/knav/space.40/2007/023A.HTM,http://directory.eoportal.org/pres_COSMOSkyMedConstellationof4SARSatellites.html,,,,
COSMO-Skymed 2 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Italian Space Agency/Ministry of Defense,Military/Government,Earth Observation,LEO,Sun-Synchronous,,622,624,1.43E-04,97.86,97.16,"1,700",,,12/9/2007,5 yrs.,Thales Alenia Space,Italy,Vandenberg AFB,Delta 2,2007-059A,32376,Earth imaging; synthetic aperture radar (SAR) operating in X-band.,,,http://directory.eoportal.org/pres_COSMOSkyMedConstellationof4SARSatellites.html,http://www.lib.cas.cz/space.40/2007/059A.HTM,,,,,
COSMO-Skymed 3 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Italian Space Agency/Ministry of Defense,Military/Government,Earth Observation,LEO,Sun-Synchronous,,622,625,2.14E-04,97.86,97.17,"1,700",,,10/25/2008,5 yrs.,Thales Alenia Space,Italy,Vandenberg AFB,,2008-054A,33412,"Earth imaging; synthetic aperture radar (SAR) operating in X-band, focus on Mediterranean security.",,SC-ASCR 1/09,http://directory.eoportal.org/pres_COSMOSkyMedConstellationof4SARSatellites.html,http://www.lib.cas.cz/space.40/2008/I065B.HTM,,,,,
"Cubesat XI-IV (Oscar 57, CO-57)",Japan,"Department of Astronautics, University of Tokyo",Civil,Technology Development,LEO,Sun-Synchronous,,822,828,4.17E-04,98.7,101.4,,1,,6/30/2003,,"Department of Astronautics, University of Tokyo",Japan,Plesetsk Cosmodrome,Dnepr,2003-031J,27848,On-orbit verification of the super small satellite (nano-satellite) bus system using commercial-off-the-shell components.,,JMSatcat1104,,http://nssdc.gsfc.nasa.gov/spacewarn/spx597.html,http://www.space.t.u-tokyo.ac.jp/cubesat/mission/operation/index-e.html,,,,
"Cubesat XI-V (Oscar 58, CO-58)",Japan,"Department of Astronautics, University of Tokyo",Civil,Technology Development,LEO,Sun-Synchronous,,682,708,1.84E-03,98.1,98.66,1,1,,10/27/2005,,"Department of Astronautics, University of Tokyo",Japan,Plesetsk Cosmodrome,Cosmos-3M,2005-043F,28895,Backup for Cubesat II-IV.,,JMSatcat206,http://www.space.t.u-tokyo.ac.jp/gs/en/satinfo.html,http://www.ncube.no/news/what_happened_to_ncube2/document_view,,,,,
"Cute-1 (Cubical Titech Engineering satellite, Oscar 55, CO-55)",Japan,Tokyo Institute of Technology,Civil,Technology Development,LEO,Sun-Synchronous,,819,831,8.34E-04,98.7,101.4,,1,,6/30/2003,1 yr.,Tokyo Institute of Technology,Japan,Plesetsk Cosmodrome,Dnepr,2003-031E,27844,Design development of pico satellite by using off-the-shelf components.,,JMSatcat304,,http://lss.mes.titech.ac.jp/ssp/cubesat/index_e.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx597.html,,,,
Cute-1.7 + APD II (Cubical Titech Engineering satellite+Avalanche Photodiode),Japan,Tokyo Institute of Technology,Civil,Technology Development,LEO,Sun-Synchronous,,616,635,1.36E-03,98,97.21,,,,4/28/2008,1 yr.,Tokyo Institute of Technology,Japan,Sriharikota Launch Station,PSLV-C9,2008-021C,32785,Will provide telemetry and a 9600-baud packet store-and-forward message relay.,,SC - ASCR,http://www.lib.cas.cz/space.40/2008/I021A.HTM,http://lss.mes.titech.ac.jp/ssp/cute1.7/index_e.html,,,,,
Delfi-C3 (DO-64),Netherlands,"Technical University, Delft",Civil,Technology Development,LEO,Sun-Synchronous,,612,637,1.79E-03,98,97.2,7,,,4/28/2008,,Technical University of Delft,Netherlands,Sriharikota Launch Station,PSLV-C9,2008-021G,32789,Flight test thin film solar cells and an advanced transceiver.,,SC - ASCR,http://www.delfic3.nl/,http://nssdc.gsfc.nasa.gov/spacewarn/spx654.html,,,,,
DEMETER (Detection of ElectroMagnetic Emission Transmitted from Earthquake Regions),France,Centre National d'Etudes Spatiales (CNES),Government,Research,LEO,Sun-Synchronous,,685,712,1.91E-03,98.2,98.74,125,100 (approx.),50,6/29/2004,2 yrs.,"CNES (Joint effort of France, Poland, Japan)",International,Baikonur Cosmodrome,Dnepr,2004-025C,28368,Study of ionosperic perturbations in relation with seismic activity; global study of the Earth electromagnetic environment.,,JMSatcat1104,http://www.spacenewsfeed.co.uk/2004/4July2004_11.htm,http://smsc.cnes.fr/DEMETER/index.htm,http://www.space.com/businesstechnology/technology/quakesat_detection_030423.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
DirecTV-10,USA,"DirecTV, Inc.",Commercial,Communications,GEO,,-102.74,"35,785","35,788",3.56E-05,0.04,1436.1,"5,900","3,700","18,000",7/7/2007,15 yrs.,Boeing Space and Intelligence Systems,USA,Baikonur Cosmodrome,Proton-M,2007-032A,31862,32 broad-beam Ka band; 55 spot-beam Ka-band transponders; will provide HDTV to CONUS.,,JM/12_08,http://www.boeing.com/defense-space/space/bss/factsheets/702/dtv10-11-12_factsheet.pdf,http://www.engadgethd.com/2007/07/07/directv-10-launched-successfully-gears-up-for-september-action/,http://www.lib.cas.cz/space.40/2007/032A.HTM,,,,
DirecTV-11,USA,"DirecTV, Inc.",Commercial,Communications,GEO,,-99.21,"35,786","35,786",0.00E+00,0.03,1436.1,"5,900",,,3/19/2008,,Boeing Satellite Development Center,USA,Sea Launch (Odyssey),Zenit 3-SL,2008-013A,32729,High definition channels for North America.,,JM/12_08,http://www.lib.cas.cz/space.40/2008/013A.HTM,,,,,,
DirecTV-1R ,USA,"DirecTV, Inc.",Commercial,Communications,GEO,,-72.48,"35,778","35,795",2.02E-04,0.03,1436.1,"3,420","2,304","8,700 (BOL)",10/10/1999,15 yrs.,Hughes Electronics Corp.,USA,Sea Launch (Odyssey),Zenit 3-SL,1999-056A,25937,"First commercial launch by Sea Launch consortium (American, Russian, Ukrainian companies); 16 Ku-band; video channels directly to home-based dishes; anticipated 50 million homes in North America.",,JM/12_08,http://nssdc.gsfc.nasa/gov/spacewarn/spx552.html,www.directv.com,http://www.boeing.com/defense-space/space/bss/factsheets/601/directv1r/directv1r.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
DirecTV-4S ,USA,"DirecTV, Inc.",Commercial,Communications,GEO,,-101.15,"35,780","35,792",1.42E-04,0.05,1436.09,"4,300","2,100","8,100 (EOL)",11/27/2001,15 yrs.,Hughes Electronics Corp.,USA,Guiana Space Center,Ariane 44LP,2001-052A,26985,Direct broadcasting; 48 Ku-band; 300 local TV channels to 41 metropolitan communities through 11 C-band transponders.,,JM/12_08,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,www.directv.com,http://nssdc.gsfc.nasa.gov/spacewarn/spx577.html,,,,
DirecTV-5 (Tempo 1),USA,"DirecTV, Inc.",Commercial,Communications,GEO,,-110.05,"35,773","35,799",3.08E-04,0.07,1436.08,"4,300","3,640",,5/7/2002,15 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,2002-023A,27426,Digital television to North American subscribers; 32 Ku-band; direct broadcasting.,,JM/12_08,www.satisfied-mind.com/directv/news/articles/satellites.htm,www.directv.com,http://nssdc.gsfc.nasa.gov/spacewarn/spx583.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
DirecTV-7S ,USA,"DirecTV, Inc. ",Commercial,Communications,GEO,,-119.04,"35,774","35,797",2.73E-04,0.01,1436.1,"5,483","3,500","13,000",5/4/2004,15 yrs.,Space Systems/Loral,USA,Sea Launch,Zenit 3SL,2004-016A,28238,Direct-to-home TV; 54 transponders.,,JM/12_08,http://nssdc.gsfc.nasa.gov/spacewarn/spx607.html,www.directv.com,http://www.universetoday.com/am/publish/sea_launch_directv_7s.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://www.lib.cas.cz/knav/space.40/2004/016A.HTM,,
DirecTV-8,USA,"DirecTV, Inc.",Commercial,Communications,GEO,,-100.81,"35,777","35,796",2.25E-04,0.02,1436.1,"3,800",,"8,200",5/22/2005,12 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M/Breeze M,2005-019A,28659,36 Ku- and Ka-band transponders.,,JM/12_08,http://www.loral.com/inthenews/050523.html,http://www.lib.cas.cz/www/space.40/2005/019A.HTM,,,,,
DirecTV-9S,USA,"DirecTV, Inc.",Commercial,Communications,GEO,,-101.08,"35,774","35,798",2.85E-04,0.03,1436.1,"5,500","2,364","13,900",10/13/2006,15 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2006-043A,29494,"52 Ku-band and 2 Ka-band transponders; direct-to-home, voice, video and internet.",,JM/12_08,http://www.nssdc.gsfc.nasa.gov/spacewarn/spx636.html,http://www.lib.cas.cz/knav/space.40/2006/I043A.HTM,http://phx.corporate-ir.net/phoenix.zhtml?c=127160&p=irol-newsArticle&ID=916210&highlight=,http://de.wikipedia.org/wiki/DirecTV-9S,,,
DLR Tubsat ,Germany,Deutsches Zentrum für Luft- und Raumfahrt,Government,Earth Science,LEO,Sun-Synchronous,,713,732,1.34E-03,98.2,99.24,45,,120,5/26/1999,1 yr.,"Institute of Aeronautics and Astronautics, Technical University of Berlin",Germany,Satish Dhawan Space Centre,PSLV-C2,1999-029C,25758,Transmits image of its own view; not currently used for scientific mission but operational.,,JMSatcat304,http://www.lib.cas.cz/www/space.40/1999/029C.HTM,http://nssdc.gsfc.nasa.gov/spacewarn/spx547.html,http://www.vectronic-aerospace.com/Image_Gallery/DLR-TUBSAT/dlr-tubsat.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
"DMSP 5D-2 F13 (Defense Meteorological Satellites Program, USA 109)",USA,DoD/NOAA,Military,Earth Science/Meteorology,LEO,Sun-Synchronous,,845,855,6.93E-04,98.8,101.93,"1,134",823,900,3/24/1995,5 yrs.,General Electric Astro Space,USA,Vandenberg AFB,Atlas E,1995-015A,23533,Near-polar orbits; investigate Earth's environment. SSM/1 sensor to track sea ice degraded.,,JMSatcat304,www.wmo.ch/web/www/OSY/Meetings/ICT-IOS3/Doc2-3(1).doc ,http://dmsp.ngdc.noaa.gov/,http://heasarc.gsfc.nasa.gov/docs/heasarc/missions.dmsp.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://www.lib.cas.cz/www/space.40/1995/015A.HTM,http://wattsupwiththat.com/2009/02/18/nsidc-satellite-sea-ice-sensor-has-catastrophic-failure-data-faulty-for-the-last-45-days/,
"DMSP 5D-2 F14 (Defense Meteorological Satellites Program, USA 131)",USA,DoD/NOAA,Military,Earth Science/Meteorology,LEO,Sun-Synchronous,,842,855,9.00E-04,98.9,101.9,"1,134",823,900,4/4/1997,5 yrs.,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Titan 2,1997-012A,24753,Near-polar orbits; investigate Earth's environment.,,JMSatcat304,www.wmo.ch/web/www/OSY/Meetings/ICT-IOS3/Doc2-3(1).doc ,http://dmsp.ngdc.noaa.gov/,http://heasarc.gsfc.nasa.gov/docs/heasarc/missions.dmsp.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://www.lib.cas.cz/www/space.40/1997/012A.HTM,,
"DMSP 5D-3 F15 (Defense Meteorological Satellites Program, USA 147)",USA,DoD/NOAA,Military,Earth Science/Meteorology,LEO,Sun-Synchronous,,837,851,9.70E-04,98.9,101.8,"1,152",823,900,12/12/1999,5 yrs.,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Titan 2,1999-067A,25991,Near-polar orbits; investigate Earth's environment. Problem with SSM/1 sensor to track sea ice.,,JMSatcat304,www.wmo.ch/web/www/OSY/Meetings/ICT-IOS3/Doc2-3(1).doc ,http://dmsp.ngdc.noaa.gov/,http://heasarc.gsfc.nasa.gov/docs/heasarc/missions.dmsp.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,http://wattsupwiththat.com/2009/02/18/nsidc-satellite-sea-ice-sensor-has-catastrophic-failure-data-faulty-for-the-last-45-days/,
"DMSP 5D-3 F16 (Defense Meteorological Satellites Program, USA 172)",USA,DoD/NOAA,Military,Earth Science/Meteorology,LEO,Sun-Synchronous,,843,852,6.23E-04,98.9,101.87,"1,154",825,900,10/18/2003,5 yrs.,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Titan 2,2003-048A,28054,Near-polar orbits; investigate Earth's environment.,,JMSatcat304,www.wmo.ch/web/www/OSY/Meetings/ICT-IOS3/Doc2-3(1).doc ,http://dmsp.ngdc.noaa.gov/,http://nssdc.gsfc.nasa.gov/spacewarn/spx600.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
"DMSP 5D-3 F17 (Defense Meteorological Satellites Program, USA 191)",USA,DoD/NOAA,Military,Earth Science/Meteorology,LEO,Sun-Synchronous,,842,855,9.00E-04,98.79,101.89,"1,154",825,900,11/4/2006,5 yrs.,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Delta 4,2006-050A,29522,Near-polar orbits; investigate Earth's environment.,,SC - ASCR,http://www.lib.cas.cz/knav/space.40/2006/050A.HTM,http://nssdc.gsfc.nasa.gov/spacewarn/spx637.html,,,,,
"Double Star 2 (Tan Ce 2, Explorer 2)",China (PR)/ESA,Chinese National Space Administration/European Space Agency,Government,Research,Elliptical,,,272,"38,352",7.41E-01,89.27,682.98,660,343,,7/25/2004,,Chinese National Space Administration/European Space Agency,China (PR)/EU,Taiyuan Launch Center,Long March 2C,2004-029A,28382,CNSA-ESA joint mission carrying eight experiments to study earth's magnetosphere; highest orbit ever for a Chinese satellite; polar orbit; operates with ESA's cluster satellites.,,SC - ASCR,http://orbits.esa.int/orbits/,http://www.eads.net/xml-root/content/OF00000000400004/7/64/31603647.html?cmd=print&size=1024,http://spacenews.dancebeat.info/index.php?topic=ESA,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://www.lib.cas.cz/knav/space.40/2004/029A.HTM,http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2004/029A.HTM,
"DRTS (Data Relay Test Satellite, Kodama)",Japan,National Space Development Agency,Government,Technology Development,GEO,,+90.77,"35,775","35,799",2.85E-04,0.02,1436.12,"2,650","1,500","2,100",9/10/2002,7 yrs.,Mitsubishi Electric,Japan,Tanegashima Space Center,H-2A,2002-042B,27516,Develop more advanced data relay  by improving the technology for the Communications and Broadcasting Engineering Satellite (COMETS).,Serve as the space communications infrastructure for two-way data relay between ground stations and experimental spacecraft in low- to mid-altitude orbit,JM/12_08,http://nssdc.gsfc.nasa.gov/spacewarn/spx587.html,http://www.nasda.go.jp/projects/sat/drts/tback_e.html,http://spaceflightnow.com/h2a/f3/status.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
"DSCS III-A3 (USA 167, DSCS III-A3) (Defense Satellite Communications System)",USA,US Air Force,Military,Communications,GEO,,+60.01,"35,771","35,802",3.68E-04,0.03,1436.12,"1,156",884,"1,240",3/11/2003,10 yrs.,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2A,2003-008A,27691,"Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band.",,JM/12_08,http://1mms.external.lmco.com/newsbureau/pressreleases/03.07.html,http://www.af.mil.news/factsheets/Defense_Satellite_Communicati/html,http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm,http://www.fas.org/spp/military/program/com/dscs_3.htm,,,
"DSCS III-B6 (USA 170, DSCS III B-6) (Defense Satellite Communications System)",USA,US Air Force,Military,Communications,GEO,,-52.51,"35,760","35,814",6.40E-04,0.05,1436.1,"1,156",884,"1,240",8/29/2003,10 yrs.,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Delta 4,2003-040A,27875,"Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band. ",,JM/12_08,http://www.space.com/missionlaunches/launches/atlas_launch_001019.html,http://www.af.mil.news/factsheets/Defense_Satellite_Communicati/html,http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm,http://www.fas.org/spp/military/program/com/dscs_3.htm,,,
"DSCS III-F10 (USA 135, DSCS III B-13) (Defense Satellite Communications System)",USA,US Air Force,Military,Communications,GEO,,-130.05,"35,757","35,817",7.12E-04,2.54,1436.1,"1,156",884,"1,240",10/24/1997,10 yrs.,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Delta 4,1997-065A,25019,"Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band.",,JM/12_08,www.losangeles.af.mil/smc/mc/mcd.html   www.disa.mil/ca/buyguide/feature/teleport.html,http://www.af.mil.news/factsheets/Defense_Satellite_Communicati/html,http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm,http://www.fas.org/spp/military/program/com/dscs_3.htm,,,
"DSCS III-F11 (USA 148, DSCS III B-8) (Defense Satellite Communications System)",USA,US Air Force,Military,Communications,GEO,,-135.11,"35,706","35,868",1.92E-03,0.01,1436.13,"1,156",884,"1,240",1/1/2000,10 yrs.,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2A,2000-001A,26052,"Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band.",,JM/12_08,www.losangeles.af.mil/smc/mc/mcd.html   www.disa.mil/ca/buyguide/feature/teleport.html,http://www.af.mil.news/factsheets/Defense_Satellite_Communicati/html,http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm,http://www.fas.org/spp/military/program/com/dscs_3.htm,,,
"DSCS III-F12 (USA 153, DSCS III B-11) (Defense Satellite Communications System)",USA,US Air Force,Military,Communications,GEO,,-12.15,"35,774","35,799",2.97E-04,0.04,1436.12,"1,156",884,"1,240",10/20/2000,10 yrs.,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2A,2000-065A,26575,"Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band.",,JM/12_08,www.losangeles.af.mil/smc/mc/mcd.html   www.disa.mil/ca/buyguide/feature/teleport.html,http://www.af.mil.news/factsheets/Defense_Satellite_Communicati/html,http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm,http://www.fas.org/spp/military/program/com/dscs_3.htm,,,
"DSCS III-F6 (USA 82, DSCS III B-12) (Defense Satellite Communications System)",USA,US Air Force,Military,Communications,GEO,,-12.09,"35,718","35,855",1.62E-03,0.05,1436.1,"1,156",884,"1,240",7/2/1992,10 yrs.,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas II,1992-037A,22009,"Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band.",,JM/12_08,www.losangeles.af.mil/smc/mc/mcd.html   www.disa.mil/ca/buyguide/feature/teleport.html,http://www.af.mil.news/factsheets/Defense_Satellite_Communicati/html,http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm,http://www.fas.org/spp/military/program/com/dscs_3.htm,,,
"DSCS III-F7 (USA 93, DSCS III B-9) (Defense Satellite Communications System)",USA,US Air Force,Military,Communications,GEO,,+180.00,"35,786","35,786",0.00E+00,0,1436.1,"1,156",884,"1,240",7/19/1993,10 yrs.,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2,1993-046A,22719,"Spare; Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band.",,GS,www.losangeles.af.mil/smc/mc/mcd.html   www.disa.mil/ca/buyguide/feature/teleport.html,http://www.af.mil.news/factsheets/Defense_Satellite_Communicati/html,http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm,http://www.fas.org/spp/military/program/com/dscs_3.htm,,,
"DSCS III-F8 (USA 97, DSCS III B-10) (Defense Satellite Communications System)",USA,US Air Force,Military,Communications,GEO,,+56.77,"35,756","35,817",7.23E-04,4.59,1436.11,"1,156",884,"1,240",11/28/1993,10 yrs.,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2,1993-074A,22915,"Spare; Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band; in reserve.",,JM/12_08,www.losangeles.af.mil/smc/mc/mcd.html   www.disa.mil/ca/buyguide/feature/teleport.html,http://www.af.mil.news/factsheets/Defense_Satellite_Communicati/html,http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm,http://www.fas.org/spp/military/program/com/dscs_3.htm,,,
"DSCS III-F9 (USA 113, DSCS III B-7) (Defense Satellite Communications System)",USA,US Air Force,Military,Communications,GEO,,-52.40,"35,784","35,784",0.00E+00,0,1436.1,"1,156",884,"1,240",7/31/1995,10 yrs.,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2A,1995-038A,23628,"Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band.",,GS,,http://www.space-technology.com/projects/sicral/,http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm,http://www.fas.org/spp/military/program/com/dscs_3.htm,,,
DSP 18 (USA 130) (Defense Support Program),USA,Air Force,Military,Early Warning,GEO,,,"35,780","35,800",2.37E-04,0.1,1436.27,"2,380",,"1,485",2/23/1997,5 yrs.,TRW and Aerojet Electronics Systems,USA,Cape Canaveral,Titan IVB,1997-008A,24737,Infrared sensors to detect heat from missile and booster plumes against earth's background; detection capability of smaller missiles; improved warning of attack by short-range missiles against U.S. and allied forces.,,JMSatcat304,,,http://www.af.mil/news/factsheets/Defense_Support_Program_Satel.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
DSP 20 (USA 149) (Defense Support Program),USA,Air Force,Military,Early Warning,GEO,,-36.25,"35,897","35,909",1.42E-04,4.08,142.08,"2,380",,"1,485",5/18/2000,7-9 yrs.,TRW and Aerojet Electronics Systems,USA,Cape Canaveral,Titan IVB,2000-024A,26356,Infrared sensors to detect heat from missile and booster plumes against earth's background; detection capability of smaller missiles; improved warning of attack by short-range missiles against U.S. and allied forces.,,JM/12_08,,,http://www.af.mil/news/factsheets/Defense_Support_Program_Satel.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
DSP 21 (USA 159) (Defense Support Program),USA,Air Force,Military,Early Warning,GEO,,+69.48,"35,765","35,810",5.34E-04,3.68,1436.14,"2,380",,"1,485",8/6/2001,7-9 yrs.,TRW and Aerojet Electronics Systems,USA,Cape Canaveral,Titan 4B,2001-033A,26880,Infrared sensors to detect heat from missile and booster plumes against earth's background; detection capability of smaller missiles; improved warning of attack by short-range missiles against U.S. and allied forces.,,JM/12_08,http://www.spaceline.org/news/titan/dsp-21/dsp-21.html,http://www.spaceandtech.com/spacedata/logs/2001/2001-033a_dsp-21_sum.shtml,http://www.af.mil/news/factsheets/Defense_Support_Program_Satel.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
DSP 22 (USA 176) (Defense Support Program),USA,Air Force,Military,Early Warning,GEO,,+103.84,"35,741","35,832",1.08E-03,1.41,1436.12,"2,380",,"1,485",2/14/2004,7-9 yrs.,Northrup Grumman (formerly TRW),USA,Cape Canaveral,Titan 4B,2004-004A,28158,Infrared sensors to detect heat from missile and booster plumes against earth's background; detection capability of smaller missiles; improved warning of attack by short-range missiles against U.S. and allied forces.,,JM/12_08,,,http://nssdc.gsfc.nasa.gov/spacewarn/spx604.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
E-bird ,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,,+33.14,"35,781","35,790",1.07E-04,0.05,1436.06,"1,525","1,300","1,600",9/27/2003,10 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,2003-043A,27948,20 Ku-band transponders; video and data transmission to Europe and Turkey.,,JM/12_08,http://nssdc.gsfc.nasa.gov/spacewarn/spx600.html,http://www.eutelsat.com/satellites/4_1.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,
Echostar 1 ,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,,-148.02,"35,776","35,795",2.25E-04,0.01,1436.07,"3,287","2,000","7,000",12/28/1995,12 yrs.,Lockheed Martin Astro Space,USA,Xichang Satellite Launch Center,Long March 2E,1995-073A,23754,Western United States to Central/Mountain region; 16 Ku-band transponders,,JM/12_08,http://www.dishnetwork.com/content/aboutus/satellites/echo1/index.shtml,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,
Echostar 10,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,,-110.07,"35,780","35,792",1.42E-04,0.06,1436,"4,333",,"10,000",2/15/2006,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Sea Launch,Zenit 3-SL,2006-003A,28935,"Direct-to-home transmission of voice, video and internet.",,JM/12_08,http://www.dishnetwork.com/content/aboutus/satellites/echoX/index.shtml,http://www.space.com/missionlaunches/060216_sea_launch.html,http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2006/003A.HTM&act=print,,,,
Echostar 11,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,,-109.97,"35,778","35,793",1.78E-04,0.03,1436.1,"5,500",,"20,000",7/16/2008,15 yrs.,Space Systems/Loral,USA,Sea Launch,Zenit 3-SL,2008-035A,33207,Direct-to-home television.,,JM/12_08,http://nssdc.gsfc.nasa.gov/spacewarn/spx657.html,http://www.space-travel.com/reports/Sea_Launch_Delivers_Echostar_11_To_Orbit_999.html,,,,,
Echostar 12 (Rainbow-1) ,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,,-61.63,"35,782","35,791",1.07E-04,0.06,1436.11,"4,328",,,7/17/2003,18 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2003-033A,27852,Direct-to-home television services; cable's attempt to compete with dish networks.,,JM/12_08,,http://nssdc.gsfc.nasa.gov/spacewarn/spx597.html,http://www.cablevision.com/index.jhtml?id=2003_07_17,,,,
Echostar 3 ,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,,-61.46,"35,783","35,790",8.30E-05,0.02,1436.11,"3,674","1,700","10,000",10/5/1997,12 yrs.,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2AS,1997-059A,25004,Central/Mountain region to Eastern U.S.; 32 Ku-band transponders,,JM/12_08,http://www.dishnetwork.com/content/aboutus/satellites/echo3/index.shtml,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,
Echostar 4 ,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,,-77.04,"35,768","35,805",4.39E-04,0.76,1436.11,"3,478","2,200","10,000",5/8/1998,12 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton,1998-028A,25331,"CONUS, Hawaii, Alaska and Puerto Rico; 32 Ku-band transponders",,JM/12_08,http://www.dishnetwork.com/content/aboutus/satellites/echo4/index.shtml,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,
