Launch_Tag	Launch_Date	Piece	Type	Name	PLName	JCAT	SatOwner	SatState	LV_Type	Flight_ID	Platform	Launch_Site	Launch_Pad	Ascent_Site	Ascent_Pad	Agency	LVState	Launch_Code	LTCite
1958-F17  	1958 Oct 11 2141:58	1958-F17	P   F       	AMS	E-1 No. 2	F00044	NII88	SU	Vostok-L 8K72	B1-4	-	NIIP-5	LC1	-	-	MVS	SU	OF	AK15
1958-F18  	1958 Oct 23 0321:04	1958-F18	P   F       	Beacon	12-foot sphere	F00048	LARCN	US	Jupiter C	RS/CC-49 HE	-	CC	LC5	-	-	ABMA	US	OF	JPL-FOM-59-10
1958-F19  	1958 Nov  8 0730:21	1958-F19	P   F       	Pioneer II	Able III	F00051	NASAHQ/AFBMD	US	Thor Able I	129	-	CC	LC17A	-	-	AFBMD	US	OF	NASA-5-25-59W-V3
1958-F20  	1958 Dec  4 1818:45	1958-F20	P   F       	AMS	E-1 No. 3	F00054	NII88	SU	Vostok-L 8K72	B1-5	-	NIIP-5	LC1	-	-	MVS	SU	OF	AK15
1958 THE  	1958 Dec  6 0544:52	1958 THE	P           	Pioneer III	Pioneer 3	S00111	ABMA	US	Juno II	AM-11	-	CC	LC5	-	-	ABMA	US	OS	JPL32-31-2
1958 ZET  	1958 Dec 18 2302	1958 ZET	P A         	SCORE	SCORE	S00010	ARPA/SCEL	US	Atlas B	10B	-	CC	LC11	-	-	AFBMD	US	OS	AP
1959 MU  	1959 Jan  2 1641:21	1959 MU 1	P   D       	AMS Luna-1	E-1 No. 4	S00112	OKB1	SU	Vostok-L 8K72	B1-6	-	NIIP-5	LC1	-	-	MVS	SU	DS	Energiya
1959 ALP  	1959 Feb 17 1555	1959 ALP 1	P           	Vanguard II	Cloud cover satellite	S00011	BSC	US	Vanguard	SLV-4	-	CC	LC18A	-	-	NRL	US	OS	Vang-ER10304
1959 BET  	1959 Feb 28 2149:16	1959 BET	P A         	Discoverer 1	CORONA Test Vehicle 2	S00013	ARPA/CIA	US	Thor Agena A	163/1022	-	V	75-3-4	-	-	AFBMD	US	OF	NRO2D4
1959 NU  	1959 Mar  3 0510:56	1959 NU 1	P   D       	Pioneer IV	Pioneer 4	S00113	ABMA	US	Juno II	AM-14	-	CC	LC5	-	-	ABMA	US	DS	JPL32-31-2
1959 GAM  	1959 Apr 13 2118:39	1959 GAM	P A         	Discoverer 2	CORONA BIO 1	S00014	ARPA/CIA	US	Thor Agena A	170/1018	-	V	75-3-4	-	-	AFBMD	US	OS	NRO3E24
1959 GAM  	1959 Apr 13 2118:39	1959 GAM	PX-RT--     	SRV	SRV	A00023	ARPA/CIA	US	Thor Agena A	170/1018	-	V	75-3-4	-	-	AFBMD	US	OS	NRO3E24
1959-F01  	1959 Apr 14 0249:46	1959-F01	P   F       	Vanguard	Magnetometer satellite	F00056	BSC	US	Vanguard	SLV-5	-	CC	LC18A	-	-	NRL	US	OF	Vang-ER10589
1959-F01  	1959 Apr 14 0249:46	1959-F01	P   F       	Vanguard 30-inch Sphere	30-inch sphere	F00058	LARCN	US	Vanguard	SLV-5	-	CC	LC18A	-	-	NRL	US	OF	Vang-ER10589
1959-F02  	1959 Jun  3 2009:20	1959-F02	P   F       	Discoverer 3	CORONA BIO 2	F00060	ARPA/CIA	US	Thor Agena A	174/1020	-	V	75-3-4	-	-	AFBMD	US	OF	NRO3E24
1959-F02  	1959 Jun  3 2009:20	1959-F02	PX-RF--     	SRV	SRV	F00062	ARPA/CIA	US	Thor Agena A	174/1020	-	V	75-3-4	-	-	AFBMD	US	OF	NRO3E24
1959-F06  	1959 Jun 18 0808	1959-F06	P   F       	AMS	E-1 No. 5	F00064	NII88	SU	Vostok-L 8K72	I1-7	-	NIIP-5	LC1	-	-	MVS	SU	OF	NezavB
1959-F03  	1959 Jun 22 2016:09	1959-F03	P   F       	Vanguard	Radiation Balance sat	F00066	GSFC	US	Vanguard	SLV-6	-	CC	LC18A	-	-	NRL	US	OF	Vang-ER-SLV6
1959-U01  	1959 Jun 25 2247:45	1959-U01	P   F       	Discoverer 4	CORONA C-1	F00068	ARPA/CIA	US	Thor Agena A	179/1023	-	V	75-3-5	-	-	AFBMD	US	OF	NRO3E3
1959-U01  	1959 Jun 25 2247:45	1959-U01	PX-RF--     	SRV 102	SRV	F00070	ARPA/CIA	US	Thor Agena A	179/1023	-	V	75-3-5	-	-	AFBMD	US	OF	NRO3E3
1959-F05  	1959 Jul 16 1737:03	1959-F05	P   F       	NASA S-1	NASA S-1	F00072	GSFC	US	Juno II	AM-16	-	CC	LC5	-	-	ABMA	US	OF	JPL32-31-3
1959 DEL  	1959 Aug  7 1424:20	1959 DEL 1	P           	Explorer VI	Able III?	S00015	GSFC	US	Thor Able III	134	-	CC	LC17A	-	-	AFBMD	US	OS	RAE/PSC
1959 EPS  	1959 Aug 13 1900:08	1959 EPS 1	P A         	Discoverer 5	CORONA C-2	S00018	ARPA/CIA	US	Thor Agena A	192/1029	-	V	75-3-4	-	-	AFBMD	US	OS	NRO3E24
1959 EPS  	1959 Aug 13 1900:08	1959 EPS 2	PX-R---     	SRV 111	SRV	S00026	CIA	US	Thor Agena A	192/1029	-	V	75-3-4	-	-	AFBMD	US	OS	NRO3E24
1959-F07  	1959 Aug 15 0031:00	1959-F07	P   F       	Beacon	12-foot sphere	F00074	LARCN	US	Juno II	AM-19B	-	CC	LC26B	-	-	ABMA	US	OF	JPL32-31-3
1959 ZET  	1959 Aug 19 1924:44	1959 ZET	P A         	Discoverer 6	CORONA C-3	S00019	ARPA/CIA	US	Thor Agena A	200/1028	-	V	75-3-5	-	-	AFBMD	US	OS	NRO3E24
1959 ZET  	1959 Aug 19 1924:44	1959 ZET	PX-RT--     	SRV 105	SRV	A00032	ARPA/CIA	US	Thor Agena A	200/1028	-	V	75-3-5	-	-	AFBMD	US	OS	NRO3E24
1959 XI  	1959 Sep 12 0639:42	1959 XI 1	P   D       	AMS Luna-2	E-1 No. 7	S00114	OKB1	SU	Vostok-L 8K72	I1-7B	-	NIIP-5	LC1	-	-	MVS	SU	DS	JBIS51-231
1959-F08  	1959 Sep 17 1434	1959-F08	P   F       	Transit I-A	Transit 1A	F00077	ARPA/BUWEPS	US	Thor Able II	136	-	CC	LC17A	-	-	AFBMD	US	OF	SanMateoTimes590917
1959 ETA  	1959 Sep 18 0520:07	1959 ETA	P A         	Vanguard III	Magne-Ray satellite	S00020	GSFC	US	Vanguard	SLV-7	-	CC	LC18A	-	-	NRL	US	OS	Vang-ER-SLV7
1959 THE  	1959 Oct  4 0043:39	1959 THE 1	P   D       	AMS Luna-3	E-2A	S00021	OKB1	SU	Vostok-L 8K72	I1-8	-	NIIP-5	LC1	-	-	MVS	SU	DS	NezavB
1959 IOT  	1959 Oct 13 1530:04	1959 IOT 1	P           	Explorer 7	NASA S-1A	S00022	GSFC	US	Juno II	AM-19A	-	CC	LC5	-	-	ABMA	US	OS	FOM-JUNO-AM16A
1959 KAP  	1959 Nov  7 2028:41	1959 KAP	P A         	Discoverer 7	CORONA C-4	S00024	ARPA/CIA	US	Thor Agena A	206/1051	-	V	75-3-4	-	-	AFBMD	US	OS	NRO3E24
1959 KAP  	1959 Nov  7 2028:41	1959 KAP	PXAR---     	SRV 109	SRV	A00038	ARPA/CIA	US	Thor Agena A	206/1051	-	V	75-3-4	-	-	AFBMD	US	OS	NRO3E24
1959 LAM  	1959 Nov 20 1925:24	1959 LAM	P A         	Discoverer 8	CORONA C-5	S00025	CIA	US	Thor Agena A	212/1050	-	V	75-3-5	-	-	AFBMD	US	OS	NRO3E24
1959 LAM  	1959 Nov 20 1925:24	1959 LAM	PX-RT--     	SRV 107	SRV	A00041	ARPA/CIA	US	Thor Agena A	212/1050	-	V	75-3-5	-	-	AFBMD	US	OS	NRO3E24
1959-F09  	1959 Nov 26 0726	1959-F09	P   F       	NASA P-3	Able IVB	F00081	NASAHQ/AFBMD	US	Atlas Able	20D	-	CC	LC14	-	-	AFBMD	US	OF	KHR-1
1960-F01  	1960 Feb  4 1851:45	1960-F01	P   F       	Discoverer 9	CORONA C-6	F00083	ARPA/CIA	US	Thor Agena A	218/1052	-	V	75-3-4	-	-	AFBMD	US	OF	NRO3E24
1960-F01  	1960 Feb  4 1851:45	1960-F01	PX-RF--     	SRV 113	SRV	F00085	ARPA/CIA	US	Thor Agena A	218/1052	-	V	75-3-4	-	-	AFBMD	US	OF	NRO3E24
1960-F01  	1960 Feb  4 1851:45	1960-F01	PXA F       	TOD-1	Transit-On-Discoverer	F00086	AFBMD	US	Thor Agena A	218/1052	-	V	75-3-4	-	-	AFBMD	US	OF	NRO3E24
1960-F02  	1960 Feb 19 2015:14	1960-F02	P   F       	Discoverer 10	CORONA C-7	F00088	AFBMD/CIA	US	Thor Agena A	223/1054	-	V	75-3-5	-	-	AFBMD	US	OF	NRO3E24
1960-F02  	1960 Feb 19 2015:14	1960-F02	PX-RF--     	SRV 110	SRV	F00090	AFBMD/CIA	US	Thor Agena A	223/1054	-	V	75-3-5	-	-	AFBMD	US	OF	NRO3E24
1960-F02  	1960 Feb 19 2015:14	1960-F02	PXA F       	TOD-2	Transit-On-Discoverer	F00091	AFBMD	US	Thor Agena A	223/1054	-	V	75-3-5	-	-	AFBMD	US	OF	NRO3E24
1960-F03  	1960 Feb 26 1725:30	1960-F03	P   F       	Midas 1	Midas ETS-I F1	F00093	AFBMD	US	Atlas Agena A	29D/1008	-	CC	LC14	-	-	AFBMD	US	OF	WS117L-571
1960 ALP  	1960 Mar 11 1300:07	1960 ALP 1	P   D       	Pioneer V	Able VI?	S00027	NASA/TRW	US	Thor Able IV	219	-	CC	LC17A	-	-	AFBMD	US	DS	NASA-PR60-145
1960-F04  	1960 Mar 23 1335:11	1960-F04	P   F       	NASA S-46	NASA S-46	F00096	MSFC	US	Juno II	AM-19C	-	CC	LC26B	-	-	MSFC	US	OF	ABMA
1960 BET  	1960 Apr  1 1140:09	1960 BET 2	P           	Tiros 1	NASA A-1	S00029	GSFC	US	Thor Able II	148	-	CC	LC17A	-	-	AFBMD	US	OS	NASA-TR-R131
1960 GAM  	1960 Apr 13 1202:36	1960 GAM 2	P           	Transit I-B	Transit 1B	S00031	ARPA/BUWEPS	US	Thor Ablestar	257/AB002	-	CC	LC17B	-	-	AFBMD	US	OS	RAE/PSC
1960 GAM  	1960 Apr 13 1202:36	1960 GAM 3	PX-D---     	Dummy subsatellite?	-	S00033	APL	US	Thor Ablestar	257/AB002	-	CC	LC17B	-	-	AFBMD	US	OS	RAE/PSC
1960-U01  	1960 Apr 15 1506:45	1960-U01	PX--D--     	AMS	E-3 No. 1	A00045	NII88	SU	Vostok-L 8K72	L1-9/I-19AMS	-	NIIP-5	LC1	-	-	RVSN	SU	OF	NezavB
1960 DEL  	1960 Apr 15 2030:37	1960 DEL	P A         	Discoverer 11	CORONA C-8	S00032	AFBMD/CIA	US	Thor Agena A	234/1055	-	V	75-3-5	-	-	AFBMD	US	OS	NRO3E24
1960 DEL  	1960 Apr 15 2030:37	1960 DEL	PXA         	TOD-3	Transit-On-Discoverer	A00047	AFBMD	US	Thor Agena A	234/1055	-	V	75-3-5	-	-	AFBMD	US	OS	NRO3E24
1960 DEL  	1960 Apr 15 2030:37	1960 DEL	PX-RT--     	SRV 103	SRV	A00049	AFBMD/CIA	US	Thor Agena A	234/1055	-	V	75-3-5	-	-	AFBMD	US	OS	NRO3E24
1960-F06  	1960 Apr 16 1607:41	1960-F06	P   F       	AMS	E-3 No. 2	F00098	NII88	SU	Vostok-L 8K72	L1-9A	-	NIIP-5	LC1	-	-	RVSN	SU	OF	NezavB
1960-F07  	1960 May 13 0916:05	1960-F07	P   F       	Echo	NASA A-10	F00101	LARCN	US	Thor Delta	144/D001	-	CC	LC17A	-	-	GSFC	US	OF	TR-1022
1960 EPS  	1960 May 15 0000:05	1960 EPS 3	PP-H        	Korabl'-Sputnik	Vostok-1P	S00036	OKB1	SU	Vostok 8K72	L1-11	-	NIIP-5	LC1	-	-	RVSN	SU	OS	VSA074
1960 ZET  	1960 May 24 1736:46	1960 ZET 1	P A         	Midas 2	Midas ETS-I F2	S00043	AFBMD	US	Atlas Agena A	45D/1007	-	CC	LC14	-	-	AFBMD	US	OS	RAE/PSC
1960 ETA  	1960 Jun 22 0554	1960 ETA 1	P           	Transit II-A	Transit 2A	S00045	BUWEPS	US	Thor Ablestar	281/AB003	-	CC	LC17B	-	-	AFBMD	US	OS	SpaceWorld6111-33
1960 ETA  	1960 Jun 22 0554	1960 ETA 2	P           	GREB	GRAB SV2	S00046	NRL	US	Thor Ablestar	281/AB003	-	CC	LC17B	-	-	AFBMD	US	OS	SpaceWorld6111-33
1960-F08  	1960 Jun 29 2200:44	1960-F08	P   F       	Discoverer 12	CORONA Diagnostic 1	F00104	AFBMD/CIA	US	Thor Agena A	160/1053	-	V	75-3-4	-	-	AFBMD	US	OF	NRO3E24
1960-F08  	1960 Jun 29 2200:44	1960-F08	PX-RF--     	SRV (GRD)	SRV	F00106	AFBMD/CIA	US	Thor Agena A	160/1053	-	V	75-3-4	-	-	AFBMD	US	OF	NRO3E24
1960-F09  	1960 Jul 28 0931	1960-F09	P   F       	Korabl'-Sputnik	Vostok-1 No. 1	F00108	NII88	SU	Vostok 8K72	L1-10	-	NIIP-5	LC1	-	-	RVSN	SU	OF	NezavB
1960 THE  	1960 Aug 10 2037:54	1960 THE	P A         	Discoverer 13	CORONA Diagnostic 2	S00048	AFBMD/CIA	US	Thor Agena A	231/1057	-	V	75-3-5	-	-	AFBMD	US	OS	NRO3E24
1960 THE  	1960 Aug 10 2037:54	1960 THE	PX-RT--     	SRV (GRD)	SRV	A00053	AFBMD/CIA	US	Thor Agena A	231/1057	-	V	75-3-5	-	-	AFBMD	US	OS	NRO3E24
1960 THE  	1960 Aug 10 2037:54	1960 THE	PXAS        	SOCTOP 1	AFTRACK 1 (SOCTOP)	A08349	SAFSP	US	Thor Agena A	231/1057	-	V	75-3-5	-	-	AFBMD	US	OS	NRO3E24
1960 IOT  	1960 Aug 12 0939:43	1960 IOT 1	P           	Echo 1	NASA A-11	S00049	LARCN	US	Thor Delta	270/D002	-	CC	LC17A	-	-	GSFC	US	OS	TR-1022
1960 KAP  	1960 Aug 18 1957:08	1960 KAP	P A         	Discoverer 14	CORONA C-9	S00054	AFBMD/CIA	US	Thor Agena A	237/1056	-	V	75-3-4	-	-	AFBMD	US	OS	NRO3E24
1960 KAP  	1960 Aug 18 1957:08	1960 KAP	PXA         	TOD-4	Transit-On-Discoverer	A00055	AFBMD	US	Thor Agena A	237/1056	-	V	75-3-4	-	-	AFBMD	US	OS	NRO3E24
1960 KAP  	1960 Aug 18 1957:08	1960 KAP	PX-RT--     	SRV 101	SRV	A00057	AFBMD/CIA	US	Thor Agena A	237/1056	-	V	75-3-4	-	-	AFBMD	US	OS	NRO3E24
1960-F10  	1960 Aug 18 1958	1960-F10	P   F       	Courier 1A	Courier 1A	F00111	SCEL/ARPA	US	Thor Ablestar	262/AB004	-	CC	LC17B	-	-	AFBMD	US	OF	Wire
1960 LAM  	1960 Aug 19 0844:06	1960 LAM 1	PP-H        	Korabl'-Sputnik-2	Vostok-1 No. 2	S00055	OKB1	SU	Vostok 8K72	L1-12	-	NIIP-5	LC1	-	-	RVSN	SU	OS	NezavB
1960 MU  	1960 Sep 13 2213:39	1960 MU	P A         	Discoverer 15	CORONA C-10	S00057	AFBMD/CIA	US	Thor Agena A	246/1058	-	V	75-3-5	-	-	AFBMD	US	OS	VCR
1960 MU  	1960 Sep 13 2213:39	1960 MU	PXA         	Discoverer Optical Beacon	SAO Optical Tracking	A00060	AFBMD	US	Thor Agena A	246/1058	-	V	75-3-5	-	-	AFBMD	US	OS	VCR
1960 MU  	1960 Sep 13 2213:39	1960 MU	PX-RT--     	SRV 106	SRV	A00062	AFBMD/CIA	US	Thor Agena A	246/1058	-	V	75-3-5	-	-	AFBMD	US	OS	VCR
1960 MU  	1960 Sep 13 2213:39	1960 MU	PXAS        	SOCTOP 2	AFTRACK 2 (SOCTOP)	A08350	SAFSP	US	Thor Agena A	246/1058	-	V	75-3-5	-	-	AFBMD	US	OS	VCR
1960-F11  	1960 Sep 25 1513:17	1960-F11	P   F       	NASA P-30	Able VA	F00113	NASAHQ/AFBMD	US	Atlas Able	80D	-	CC	LC12	-	-	AFBMD	US	OF	KHR-1
1960 NU  	1960 Oct  4 1750	1960 NU 1	P           	Courier 1B	Courier 1B	S00058	SCEL	US	Thor Ablestar	293/AB005	-	CC	LC17B	-	-	AFBMD	US	OS	MR601010-40
1960-F12  	1960 Oct 10 1427:49	1960-F12	P   F       	AMS	1M No. 1	F00117	NII88	SU	Molniya 8K78	L1-4M	-	NIIP-5	LC1	-	-	RVSN	SU	OF	KIAM
1960-F13  	1960 Oct 11 2033:28	1960-F13	P   F       	Samos 1	SAMOS E-1 No. 1	F00119	AFBMD	US	Atlas Agena A	57D/2101	-	PA	LC1-1	-	-	AFBMD	US	OF	WS117L-571
1960-F13  	1960 Oct 11 2033:28	1960-F13	P   F       	Samos 1 F-1	SAMOS F-1 No. 1	F01410	AFBMD	US	Atlas Agena A	57D/2101	-	PA	LC1-1	-	-	AFBMD	US	OF	WS117L-571
1960-F14  	1960 Oct 14 1351:03	1960-F14	P   F       	AMS	1M No. 2	F00123	NII88	SU	Molniya 8K78	L1-5M	-	NIIP-5	LC1	-	-	RVSN	SU	OF	KIAM
1960-F15  	1960 Oct 26 2026:09	1960-F15	P   F       	Discoverer 16	CORONA C'-1	F00125	AFBMD/CIA	US	Thor Agena B	253/1061	-	V	75-3-4	-	-	AFBMD	US	OF	VCR
1960-F15  	1960 Oct 26 2026:09	1960-F15	PX-RF--     	SRV 506	SRV	F00127	AFBMD/CIA	US	Thor Agena B	253/1061	-	V	75-3-4	-	-	AFBMD	US	OF	VCR
1960-F15  	1960 Oct 26 2026:09	1960-F15	PXA F       	TOD-5	Transit-On-Discoverer	F00128	AFBMD	US	Thor Agena B	253/1061	-	V	75-3-4	-	-	AFBMD	US	OF	VCR
1960-F15  	1960 Oct 26 2026:09	1960-F15	PXA F       	SOCTOP 3	AFTRACK 3 (SOCTOP)	F01461	SAFSP	US	Thor Agena B	253/1061	-	V	75-3-4	-	-	AFBMD	US	OF	VCR
1960 XI  	1960 Nov  3 0523:10	1960 XI 1	P           	Explorer 8	NASA S-30	S00060	GSFC	US	Juno II	AM-19D	-	CC	LC26B	-	-	MSFC	US	OS	ABMA
1960 OMI  	1960 Nov 12 2042:32	1960 OMI	P A         	Discoverer 17	CORONA C'-2	S00061	AFBMD/CIA	US	Thor Agena B	297/1062	-	V	75-3-5	-	-	AFBMD	US	OS	VCR
1960 OMI  	1960 Nov 12 2042:32	1960 OMI	PXA         	TOD-6	Transit-On-Discoverer	A00068	AFBMD	US	Thor Agena B	297/1062	-	V	75-3-5	-	-	AFBMD	US	OS	VCR
1960 OMI  	1960 Nov 12 2042:32	1960 OMI	PX-RT--     	SRV 507	SRV	A00070	AFBMD/CIA	US	Thor Agena B	297/1062	-	V	75-3-5	-	-	AFBMD	US	OS	VCR
1960 OMI  	1960 Nov 12 2042:32	1960 OMI	PXAS        	SOCTOP 4	AFTRACK 4 (SOCTOP)	A08351	SAFSP	US	Thor Agena B	297/1062	-	V	75-3-5	-	-	AFBMD	US	OS	VCR
1960 PI  	1960 Nov 23 1113:03	1960 PI 1	P           	Tiros 2	NASA A-2	S00063	GSFC	US	Thor Delta	245/D003	-	CC	LC17A	-	-	GSFC	US	OS	TR-1022
1960-F16  	1960 Nov 30 1950	1960-F16	P   F       	Transit III-A	Transit 3A	F00132	BUWEPS	US	Thor Ablestar	283/AB006	-	CC	LC17B	-	-	AFBMD	US	OF	AP
1960-F16  	1960 Nov 30 1950	1960-F16	P   F       	SR 2	GRAB SV1	F00133	NRL	US	Thor Ablestar	283/AB006	-	CC	LC17B	-	-	AFBMD	US	OF	AP
1960 RHO  	1960 Dec  1 0730:04	1960 RHO 1	PP-H        	Korabl'-Sputnik-3	Vostok-1 No. 3	S00065	OKB1	SU	Vostok 8K72	L1-13	-	NIIP-5	LC1	-	-	RVSN	SU	OS	NezavB
1960-F17  	1960 Dec  4 2114	1960-F17	P   F       	NASA S-56	NASA S-56	F00136	LARCN	US	Scout X-1	ST-3	-	WI	LA3	-	-	LARCN	US	OF	Wire
1960 SIG  	1960 Dec  7 2020:58	1960 SIG	P A         	Discoverer 18	CORONA C'-3	S00067	AFBMD/CIA	US	Thor Agena B	296/1103	-	V	75-3-4	-	-	AFBMD	US	OS	VCR
1960 SIG  	1960 Dec  7 2020:58	1960 SIG	PXA         	TOD-7	Transit-On-Discoverer	A00073	AFBMD	US	Thor Agena B	296/1103	-	V	75-3-4	-	-	AFBMD	US	OS	VCR
1960 SIG  	1960 Dec  7 2020:58	1960 SIG	PX-RT--     	SRV 508	SRV	A00075	AFBMD/CIA	US	Thor Agena B	296/1103	-	V	75-3-4	-	-	AFBMD	US	OS	VCR
1960-F18  	1960 Dec 15 0910	1960-F18	P   F       	NASA P-31	Able VB	F00138	NASAHQ/AFBMD	US	Atlas Able	91D	-	CC	LC12	-	-	AFBMD	US	OF	KHR-1
1960 TAU  	1960 Dec 20 2032	1960 TAU	P A         	Discoverer 19	CORONA RM-1	S00068	AFBMD/ARPA	US	Thor Agena B	258/1101	-	V	75-3-5	-	-	AFBMD	US	OS	VCR
1960-F19  	1960 Dec 22 0745:19	1960-F19	P   F       	Korabl'-Sputnik	Vostok-1 No. 4	F00140	NII88	SU	Vostok 8K72	L1-13A	-	NIIP-5	LC1	-	-	RVSN	SU	OF	NezavB
1961 ALP  	1961 Jan 31 2021:19	1961 ALP 1	P           	Samos 2 F-1	SAMOS F-1 No. 2	S00070	AFBMD	US	Atlas Agena A	70D/2102	-	PA	LC1-1	-	-	AFBMD	US	OS	VCR
1961 ALP  	1961 Jan 31 2021:19	1961 ALP 2	P A         	Samos 2	SAMOS E-1 No. 2	S00079	AFBMD	US	Atlas Agena A	70D/2102	-	PA	LC1-1	-	-	AFBMD	US	OS	VCR
